lamp_id,1/4/2023,2/4/2023,3/4/2023,4/4/2023,5/4/2023,6/4/2023,7/4/2023,8/4/2023,9/4/2023,10/4/2023,11/4/2023,12/4/2023,13/4/2023,14/4/2023,15/4/2023
99,4354.0,4225.0,2846.0,4222.0,4316.0,3456.0,2913.0,3024.0,4387.0,4320.0,4365.0,4244.0,3916.0,3524.0,3609.0
100,4390.0,4274.0,1763.0,4036.0,4172.0,3730.0,3282.0,4076.0,4572.0,4892.0,4458.0,4259.0,4232.0,3876.0,3584.0
109,6002.0,5582.0,6044.0,5404.0,5278.0,5568.0,5610.0,5673.0,6139.0,6481.0,5587.0,5782.0,6904.0,5000.0,4645.0
73,3250.0,2112.0,349.0,1329.0,1663.0,1392.0,267.0,4372.0,1633.0,1077.0,1940.0,332.0,178.0,1043.0,2106.0
74,1981.0,3313.0,4677.0,4595.0,4539.0,4442.0,4372.0,4515.0,4982.0,4566.0,2673.0,5188.0,5036.0,4902.0,4367.0
88,559.0,508.0,1314.0,1329.0,415.0,392.0,409.0,1181.0,1355.5,369.0,328.0,171.0,1605.5,445.0,402.0
81,398.0,418.0,1314.0,1329.0,426.0,331.0,405.0,1181.0,1355.5,423.0,379.0,175.0,1605.5,343.0,446.0
90,332.0,110.0,564.0,391.0,653.0,1392.0,1036.0,241.0,1355.5,1077.0,1940.0,1160.5,1605.5,1753.5,537.0
91,354.0,1441.0,579.0,608.0,652.0,1392.0,1036.0,264.0,111.0,1077.0,1940.0,1160.5,1605.5,1753.5,2874.0
92,245.0,1441.0,495.0,429.0,584.0,1392.0,1036.0,159.0,105.0,1077.0,1940.0,1160.5,1605.5,1753.5,2392.0
77,170.0,1441.0,339.0,1329.0,1663.0,1392.0,349.0,449.0,409.0,1077.0,1940.0,370.0,197.0,399.0,2651.0
14,265.0,463.0,555.0,155.0,1663.0,564.0,463.0,397.0,570.0,481.0,390.0,544.0,724.0,306.0,4445.0
34,2464.0,2403.0,2234.0,2272.0,2628.0,1392.0,2136.0,2440.0,2577.0,1718.0,2413.0,2476.0,2555.0,2422.0,2661.0
117,2608.0,2532.0,3007.0,2823.0,3036.0,2350.0,1759.0,2690.0,2594.0,2271.0,2469.0,2821.0,2324.0,2150.0,2233.0
7,426.0,1441.0,1314.0,1329.0,498.0,590.0,628.0,144.0,602.0,443.0,465.0,639.0,640.0,581.0,567.0
69,5044.0,5311.0,5243.0,4994.0,2060.0,3973.0,4917.0,5126.0,5482.0,5020.0,5370.0,5698.0,6067.0,2207.0,5127.0
70,5148.0,5257.0,5207.0,5149.0,5039.0,5338.0,4975.0,5131.0,5618.0,5140.0,5676.0,5686.0,6156.0,3197.0,5191.0
51,1651.0,1636.0,1530.0,1604.0,1663.0,1850.0,1599.0,1374.0,1624.0,1873.0,2139.0,2536.0,2744.0,2105.0,1610.0
52,1848.0,2049.0,1904.0,1901.0,1989.0,2168.0,1991.0,1679.0,1935.0,2314.0,2687.0,2906.0,3353.0,2536.0,1940.0
53,1486.0,1441.0,1314.0,1329.0,1663.0,1392.0,1036.0,1181.0,1355.5,504.0,508.0,537.0,331.0,133.0,2106.0
54,1229.0,1441.0,1314.0,1296.0,1375.0,1081.0,1036.0,1186.0,1222.0,1800.0,1817.0,1875.0,1817.0,1615.0,1393.0
58,465.0,418.0,107.0,1329.0,407.0,380.0,369.0,389.0,151.0,290.0,329.0,1160.5,414.0,343.0,2106.0
66,3615.0,3579.0,3269.0,3307.0,3739.0,3346.0,2708.0,3396.0,3438.0,3572.0,3912.0,3679.0,3175.0,3007.0,2799.0
116,663.0,543.0,1046.0,1043.0,1092.0,992.0,406.0,1076.0,667.0,1077.0,1322.0,1160.5,426.0,418.0,798.0
115,800.0,669.0,1176.0,1071.0,1096.0,1111.0,637.0,1181.0,796.0,1191.0,1327.0,418.0,435.0,607.0,941.0
35,1486.0,1441.0,1314.0,1329.0,1663.0,1392.0,1036.0,165.0,1355.5,135.0,1940.0,108.0,1605.5,1753.5,2106.0
57,545.0,529.0,135.0,125.0,532.0,498.0,358.0,458.0,216.0,453.0,384.0,131.0,527.0,384.0,2106.0
19,1705.0,1876.0,1988.0,1362.0,419.0,1979.0,1969.0,1702.0,2031.0,1819.0,1940.0,2059.0,2524.0,1892.0,1593.0
20,1486.0,165.0,183.0,1329.0,1663.0,180.0,148.0,130.0,186.0,151.0,126.0,145.0,235.0,1753.5,193.0
22,2923.0,3041.0,3118.0,3151.0,3215.0,3269.0,2807.0,2798.0,3117.0,2864.0,3147.0,3381.0,3859.0,3038.0,2983.0
23,231.0,219.0,446.0,738.0,658.0,366.0,863.0,795.0,767.0,396.0,408.0,869.0,334.0,535.0,825.0
27,1785.0,1598.0,2217.0,2578.0,2882.0,1947.0,2258.0,2444.0,2419.0,2267.0,2045.0,2654.0,1955.0,2173.0,2292.0
36,1486.0,1441.0,1314.0,1329.0,1663.0,1392.0,1036.0,153.0,1355.5,152.0,1940.0,124.0,1605.5,1753.5,2106.0
37,1486.0,1441.0,1314.0,1329.0,1663.0,1392.0,1036.0,169.0,1355.5,190.0,1940.0,186.0,1605.5,1753.5,1986.0
38,1486.0,1441.0,1314.0,1329.0,1663.0,1392.0,1036.0,176.0,1355.5,154.0,1940.0,206.0,1605.5,1753.5,1773.0
110,2646.0,2500.0,2638.0,2245.0,2439.0,2420.0,2119.0,2310.0,2755.0,2586.0,2323.0,2502.0,2712.0,2419.0,2376.0
114,1486.0,1345.0,1827.0,1621.0,1776.0,1747.0,1085.0,1567.0,1489.0,1514.0,1967.0,1452.0,1394.0,1216.0,1402.0
